DateTime,Entries,UniqueIPs
1554002081,2191,2191
1554004099,2176,2176
1554006297,2167,2167
1554008190,2157,2157
1554010113,2147,2147
1554012190,2167,2167
1554014023,2152,2152
1554015885,2228,2228
1554017781,2310,2310
1554019726,2385,2385
1554021655,2443,2443
1554023546,2464,2464
1554025485,2529,2529
1554027406,2550,2550
1554029311,2565,2565
1554031243,2530,2530
1554033188,2462,2462
1554035065,2424,2424
1554037009,2386,2386
1554038914,2326,2326
1554040948,2269,2269
1554043019,2208,2208
1554044928,2172,2172
1554046831,2158,2158
1554048743,2151,2151
1554050682,2136,2136
1554052591,2134,2134
1554054502,2123,2123
1554056327,2119,2119
1554058339,2109,2109
1554060254,2095,2095
1554062540,2085,2085
1554064364,2078,2078
1554066312,2064,2064
1554068191,2051,2051
1554070095,2038,2038
1554072072,2028,2028
1554074018,2037,2037
1554075918,2030,2030
1554077809,2049,2049
1554079709,2067,2067
1554081652,2084,2084
1554083583,2136,2136
1554085467,2171,2171
1554087385,2241,2241
1554089238,2292,2292
1554091375,2381,2381
1554093259,2442,2442
1554095080,2476,2476
1554097229,2505,2505
1554099147,2502,2502
1554101097,2490,2490
1554102990,2456,2456
1554104918,2370,2370
1554106852,2303,2303
1554108761,2259,2259
1554110909,2225,2225
1554112885,2179,2179
1554114760,2141,2141
1554116709,2145,2145
1554118592,2143,2143
1554120523,2162,2162
1554122440,2155,2155
1554124367,2161,2161
1554126280,2177,2177
1554128194,2178,2178
1554130104,2175,2175
1554132035,2177,2177
1554133953,2185,2185
1554135883,2194,2194
1554137780,2188,2188
1554139712,2197,2197
1554141814,2198,2198
1554143698,2196,2196
1554145736,2221,2221
1554147637,2232,2232
1554150041,2251,2251
1554151853,2297,2297
1554153895,2316,2316
1554155797,2361,2361
1554157718,2401,2401
1554159782,2468,2468
1554163717,2517,2517
1554165640,2540,2540
1554167578,2569,2569
1554169485,2572,2572
1554171409,2562,2562
1554173335,2502,2502
1554175244,2446,2446
1554177179,2416,2416
1554179095,2352,2352
1554180990,2357,2357
1554182907,2331,2331
1554184975,2325,2325
1554187034,2317,2317
1554188951,2289,2289
1554190836,2252,2252
1554192751,2257,2257
1554194696,2242,2242
1554196599,2235,2235
1554198534,2236,2236
1554200450,2232,2232
1554202349,2210,2210
1554204283,2191,2191
1554206215,2172,2172
1554208139,2167,2167
1554210191,2156,2156
1554212005,2235,2235
1554213946,2331,2331
1554215787,2438,2438
1554217737,2492,2492
1554220949,2480,2480
1554222785,2476,2476
1554224699,2467,2467
1554226623,2465,2465
1554228533,2481,2481
1554230456,2493,2493
1554232353,2502,2502
1554234294,2492,2492
1554236190,2500,2500
1554238129,2503,2503
1554240060,2506,2506
1554241964,2486,2486
1554245356,2427,2427
1554247231,2374,2374
1554249161,2382,2382
1554251066,2301,2301
1554253011,2279,2279
1554254916,2249,2249
1554257098,2236,2236
1554258986,2224,2224
1554260906,2213,2213
1554262838,2223,2223
1554264740,2217,2217
1554266655,2199,2199
1554268626,2201,2201
1554270499,2190,2190
1554272432,2183,2183
1554274373,2174,2174
1554276285,2168,2168
1554278186,2160,2160
1554280127,2178,2178
1554282294,2278,2278
1554284183,2334,2334
1554286109,2334,2334
1554288060,2359,2359
1554289946,2440,2440
1554291887,2456,2456
1554293800,2477,2477
1554295758,2490,2490
1554297637,2445,2445
1554299594,2536,2536
1554301477,2800,2800
1554303425,2847,2847
1554305326,2855,2855
1554307376,2914,2914
1554309379,2975,2975
1554311567,3065,3065
1554313478,3173,3173
1554315396,3216,3216
1554317301,3243,3243
1554319232,3296,3296
1554321142,3402,3402
1554323078,3818,3818
1554325008,3940,3940
1554326920,3956,3956
1554328937,3977,3977
1554330784,4014,4014
1554332591,4061,4061
1554334576,4122,4122
1554336527,4209,4209
1554338426,4226,4226
1554340345,4256,4256
1554342289,4464,4464
1554344195,4833,4833
1554346102,4885,4885
1554348048,4903,4903
1554349942,4896,4896
1554351868,4944,4944
1554353821,4964,4964
1554355716,5010,5010
1554357790,5051,5051
1554359794,5050,5050
1554361719,5101,5101
1554363624,5317,5317
1554365598,5601,5601
1554367484,5892,5892
1554369401,6180,6180
1554371315,6405,6405
1554373255,6602,6602
1554375155,6784,6784
1554377097,6951,6951
1554378995,7113,7113
1554380914,7273,7273
1554382962,7547,7547
1554384772,7822,7822
1554386703,7873,7873
1554388590,7841,7841
1554390514,8005,8005
1554392423,8181,8181
1554394362,8380,8380
1554396259,8512,8512
1554398254,8625,8625
1554400123,8657,8657
1554402050,8892,8892
1554403941,9200,9200
1554405897,9349,9349
1554407797,9328,9328
1554409697,8870,8870
1554411860,8750,8750
1554413780,8758,8758
1554415704,8740,8740
1554418351,8703,8703
1554420270,8651,8651
1554422192,8628,8628
1554424127,8618,8618
1554426198,8617,8617
1554428214,8474,8474
1554430120,8140,8140
1554432030,8002,8002
1554434225,7963,7963
1554436148,7948,7948
1554438046,7910,7910
1554439955,7860,7860
1554441893,7825,7825
1554443796,7787,7787
1554445710,7792,7792
1554447790,7783,7783
1554450036,7540,7540
1554451980,7251,7251
1554453890,6923,6923
1554456030,6526,6526
1554457943,6324,6324
1554459896,6143,6143
1554461801,5984,5984
1554463702,5792,5792
1554465766,5677,5677
1554467781,5522,5522
1554469720,5279,5279
1554471869,5008,5008
1554473780,4674,4674
1554475740,4432,4432
1554477630,4320,4320
1554479529,4130,4130
1554481489,3905,3905
1554483681,3731,3731
1554485558,3557,3557
1554487471,3401,3401
1554489372,3072,3072
1554491314,2860,2860
1554493228,2692,2692
1554495138,2672,2672
1554497318,2729,2729
1554499230,2737,2737
1554501167,2728,2728
1554503076,2715,2715
1554505031,2702,2702
1554506902,2689,2689
1554508909,2671,2671
1554510764,2619,2619
1554512567,2639,2639
1554514591,2636,2636
1554516537,2620,2620
1554518462,2612,2612
1554520352,2626,2626
1554522264,2606,2606
1554524238,2601,2601
1554526121,2596,2596
1554528038,2615,2615
1554529963,2604,2604
1554531879,2576,2576
1554533792,2576,2576
1554535728,2566,2566
1554537794,2556,2556
1554540043,2524,2524
1554541935,2494,2494
1554543866,2467,2467
1554545811,2432,2432
1554547709,2384,2384
1554549619,2348,2348
1554551567,2281,2281
1554553477,2205,2205
1554555374,2159,2159
1554557313,2061,2061
1554559135,2007,2007
1554561136,1966,1966
1554563085,1916,1916
1554564986,1853,1853
1554566924,1819,1819
1554568834,1783,1783
1554570749,1751,1751
1554572918,1742,1742
1554574814,1800,1800
1554576747,1901,1901
1554578685,1926,1926
1554580607,1992,1992
1554582520,1982,1982
1554584505,1988,1988
1554586351,2036,2036
1554588302,2029,2029
1554590183,2022,2022
1554592128,2032,2032
1554594033,2040,2040
1554595942,2043,2043
1554597879,2046,2046
1554599785,2020,2020
1554601698,2014,2014
1554603635,2015,2015
1554605542,2033,2033
1554607459,2034,2034
1554609417,2024,2024
1554611317,2003,2003
1554613491,2001,2001
1554615397,1997,1997
1554617311,2002,2002
1554619245,1999,1999
1554621151,2006,2006
1554623081,2020,2020
1554624977,2039,2039
1554626907,2042,2042
1554628846,2054,2054
1554630746,2061,2061
1554632680,2071,2071
1554634574,2095,2095
1554636516,2093,2093
1554638519,2078,2078
1554640340,2098,2098
1554642285,2105,2105
1554644184,2119,2119
1554646139,2128,2128
1554648020,2153,2153
1554649961,2200,2200
1554651879,2325,2325
1554653794,2399,2399
1554655707,2461,2461
1554657635,2506,2506
1554659565,2525,2525
1554661508,2466,2466
1554663403,2379,2379
1554665297,2336,2336
1554667333,2294,2294
1554669141,2269,2269
1554671104,2242,2242
1554673000,2199,2199
1554674948,2211,2211
1554676820,2225,2225
1554678738,2234,2234
1554680690,2221,2221
1554682602,2215,2215
1554684528,2203,2203
1554686446,2196,2196
1554688346,2206,2206
1554690263,2215,2215
1554692205,2197,2197
1554694118,2190,2190
1554696181,2206,2206
1554697998,2209,2209
1554699895,2225,2225
1554701789,2211,2211
1554703736,2216,2216
1554705651,2222,2222
1554707547,2263,2263
1554709542,2354,2354
1554711427,2487,2487
1554713321,2618,2618
1554715240,2739,2739
1554717138,2891,2891
1554719098,3020,3020
1554720989,3148,3148
1554723875,3332,3332
1554725848,3479,3479
1554727712,3604,3604
1554729915,3768,3768
1554731796,3916,3916
1554733742,4058,4058
1554735699,4158,4158
1554737585,4191,4191
1554739492,4120,4120
1554741394,4112,4112
1554743326,4055,4055
1554745486,4022,4022
1554747418,4001,4001
1554749317,3950,3950
1554751240,3916,3916
1554753138,3892,3892
1554755185,3893,3893
1554757003,3874,3874
1554758944,3857,3857
1554760980,3856,3856
1554762984,3818,3818
1554764949,3807,3807
1554766821,3798,3798
1554768744,3800,3800
1554770691,3809,3809
1554772579,3833,3833
1554774506,3816,3816
1554776431,3812,3812
1554778355,3805,3805
1554780270,3800,3800
1554782186,3799,3799
1554784109,3807,3807
1554786112,3789,3789
1554788218,3777,3777
1554790129,3775,3775
1554792042,3764,3764
1554793950,3718,3718
1554795892,3627,3627
1554797799,3495,3495
1554799707,3360,3360
1554801644,3242,3242
1554803566,3090,3090
1554805465,2979,2979
1554807419,2868,2868
1554809317,2799,2799
1554811414,2704,2704
1554813390,2595,2595
1554815308,2504,2504
1554817230,2395,2395
1554819158,2213,2213
1554821069,1902,1902
1554822990,1816,1816
1554824907,1731,1731
1554826856,1725,1725
1554828746,1717,1717
1554830665,1721,1721
1554832593,1722,1722
1554834495,1720,1720
1554836530,1704,1704
1554838376,1695,1695
1554840309,1692,1692
1554842297,1692,1692
1554844138,1690,1690
1554846018,1691,1691
1554847955,1684,1684
1554849976,1669,1669
1554851823,1657,1657
1554853709,1653,1653
1554855651,1645,1645
1554857576,1653,1653
1554859477,1641,1641
1554861386,1643,1643
1554863320,1633,1633
1554865397,1642,1642
1554867632,1635,1635
1554869541,1622,1622
1554871490,1616,1616
1554873391,1614,1614
1554875563,1630,1630
1554877466,1642,1642
1554879412,1700,1700
1554881296,1703,1703
1554883354,1705,1705
1554885381,1702,1702
1554887354,1717,1717
1554889221,1731,1731
1554891148,1723,1723
1554893079,1715,1715
1554894991,1693,1693
1554896919,1657,1657
1554898843,1632,1632
1554900763,1741,1741
1554902675,1967,1967
1554904602,2089,2089
1554906515,2110,2110
1554909665,2099,2099
1554911571,2163,2163
1554913469,2180,2180
1554915411,2174,2174
1554917310,2184,2184
1554919380,2233,2233
1554921380,2250,2250
1554923551,2237,2237
1554925464,2236,2236
1554927427,2256,2256
1554929436,2250,2250
1554931249,2263,2263
1554933163,2336,2336
1554935128,2356,2356
1554936986,2371,2371
1554938897,2372,2372
1554940988,2366,2366
1554942997,2364,2364
1554944911,2346,2346
1554946862,2336,2336
1554948795,2330,2330
1554950674,2323,2323
1554952579,2329,2329
1554954526,2320,2320
1554956416,2329,2329
1554958337,2318,2318
1554960306,2302,2302
1554962348,2273,2273
1554964355,2246,2246
1554966262,2187,2187
1554968198,2184,2184
1554970100,2174,2174
1554972049,2167,2167
1554973947,2160,2160
1554975877,2146,2146
1554977778,2140,2140
