DateTime,AddedIPs,RemovedIPs
1554609398,2,10
1554610093,8,0
1554610820,4,2
1554611535,3,1
1554612254,2,2
1554613093,4,7
1554613937,2,1
1554614655,0,1
1554615375,3,0
1554616089,6,0
1554616818,2,3
1554617532,3,1
1554618252,2,0
1554618971,4,2
1554619691,4,1
1554620447,4,3
1554621135,2,6
1554621853,3,0
1554622570,4,4
1554623292,3,3
1554624035,0,1
1554624735,3,5
1554625449,7,2
1554626177,7,5
1554626893,2,6
1554627618,3,0
1554628334,4,3
1554629053,4,2
1554629768,3,5
1554630492,1,3
1554631222,0,1
1554631942,1,5
1554632668,3,2
1554633371,4,3
1554634091,6,0
1554634828,4,5
1554635535,3,0
1554636253,4,2
1554636969,1,5
1554637708,0,2
1554638417,3,6
1554639131,3,2
1554639851,4,4
1554640577,0,4
1554641291,3,4
1554642015,2,2
1554642734,8,3
1554643457,3,4
1554644172,5,4
1554644888,2,2
1554645621,4,5
1554646333,2,7
1554647057,4,3
1554647769,2,3
1554648496,4,6
1554649230,4,2
1554649950,3,6
1554650656,3,2
1554651376,0,3
1554652094,2,5
1554652829,3,2
1554653534,4,3
1554654249,1,2
1554654976,4,2
1554655689,4,3
1554656419,10,3
1554657133,1,8
1554657855,3,5
1554658572,2,6
1554659301,2,2
1554660025,3,3
1554660741,6,2
1554661451,5,6
1554662171,5,2
1554662892,2,6
1554663612,2,1
1554664337,4,3
1554665049,1,5
1554665772,5,5
1554666505,5,3
1554667218,7,0
1554668181,3,4
1554668887,2,1
1554669618,2,0
1554670328,5,5
1554671056,3,6
1554671769,2,2
1554672495,4,4
1554673212,1,8
1554673937,7,2
1554674920,2,5
1554675625,1,3
1554676357,2,1
1554677070,0,9
1554677792,3,0
1554678510,2,0
1554679236,5,0
1554679934,1,6
1554680664,7,5
1554681366,1,0
1554682102,8,12
1554682806,4,0
1554683538,2,6
1554684250,2,8
1554684989,4,5
1554685708,3,4
1554686427,6,11
1554687151,9,0
1554687875,4,3
1554688585,14,13
1554689316,7,8
1554690025,6,9
1554690758,3,2
1554691471,9,6
1554692191,3,7
1554692911,7,5
1554693638,4,10
1554694586,10,4
1554695567,2,13
1554696528,7,3
1554697226,7,2
1554697954,2,2
1554698668,1,0
1554699393,2,0
1554700239,1,1
1554701069,3,1
1554701771,5,2
1554702498,2,3
1554703230,1,3
1554703934,3,4
1554704660,3,0
1554705633,4,2
1554706366,7,2
1554707078,2,1
1554707789,1,3
1554708514,3,0
1554709228,1,2
1554709955,3,5
1554710669,0,4
1554711398,5,2
1554712105,2,3
1554712834,5,1
1554713549,3,6
1554714737,2,3
1554715451,6,3
1554716179,3,2
1554716908,2,5
1554717640,2,0
1554718331,7,4
1554719075,4,9
1554719791,4,4
1554720516,4,4
1554721236,5,6
1554721955,3,5
1554722671,2,0
1554723388,2,4
1554724114,4,0
1554725082,9,4
1554725802,6,3
1554726510,1,3
1554727230,2,1
1554727974,3,3
1554728651,0,3
1554729374,1,2
1554730091,2,2
1554730817,2,4
1554731532,6,2
1554732262,1,0
1554733232,4,3
1554733936,2,4
1554734661,2,5
1554735372,2,1
1554736348,3,7
1554737049,4,4
1554737769,3,2
1554738495,2,1
1554739217,0,1
1554739933,3,6
1554740670,12,17
1554741373,2,0
1554742095,9,10
1554742833,6,5
1554743538,0,5
1554744251,7,0
1554744976,3,4
1554745691,7,2
1554746436,2,2
1554747128,0,5
1554747857,7,9
1554748572,0,4
1554749301,8,1
1554750027,4,1
1554750741,6,5
1554751450,5,5
1554752185,6,3
1554752893,4,2
1554753639,5,2
1554754335,3,5
1554755054,4,0
1554755768,2,34
1554756493,5,0
1554757469,2,1
1554758930,5,11
1554759608,9,2
1554760345,6,2
1554761050,3,3
1554761776,6,3
1554762491,2,4
1554763217,2,0
1554764933,9,29
