DateTime,AddedIPs,RemovedIPs
1554610093,35,31
1554610820,29,29
1554611535,24,188
1554612254,175,17
1554613093,41,17
1554613937,16,51
1554614655,25,29
1554615375,35,23
1554616089,26,20
1554616818,33,177
1554617532,186,32
1554618252,46,31
1554618971,33,35
1554619691,16,38
1554620447,36,16
1554621135,16,47
1554621853,35,26
1554622570,37,32
1554623292,38,31
1554624035,34,27
1554624735,38,74
1554625449,71,33
1554626177,37,31
1554626893,28,34
1554627618,52,25
1554628334,21,58
1554629053,42,23
1554629768,35,42
1554630492,26,47
1554631222,45,26
1554631942,41,27
1554632668,41,22
1554633371,26,34
1554634091,27,35
1554634828,25,25
1554635535,27,26
1554636253,39,46
1554636969,36,38
1554637708,22,23
1554638417,33,455
1554639131,453,26
1554639851,40,31
1554640577,25,31
1554641291,44,50
1554642015,44,64
1554642734,53,42
1554643457,50,33
1554644172,37,46
1554644888,43,34
1554645621,47,46
1554646333,45,37
1554647057,38,28
1554647769,32,50
1554648496,54,31
1554649230,37,38
1554649950,34,52
1554650656,67,48
1554651376,36,57
1554652094,56,47
1554652829,45,41
1554653534,39,49
1554654249,28,29
1554654976,26,35
1554655689,37,19
1554656419,32,50
1554657133,35,28
1554657855,34,40
1554658572,29,36
1554659301,37,32
1554660025,37,24
1554660741,35,48
1554661451,25,40
1554662171,34,33
1554662892,35,32
1554663612,26,67
1554664337,98,25
1554665049,28,32
1554665772,34,35
1554666505,35,38
1554667218,44,21
1554668181,24,46
1554668887,20,30
1554669618,22,22
1554670328,31,36
1554671056,27,46
1554671769,36,38
1554672495,46,24
1554673212,27,29
1554673937,35,36
1554674920,21,34
1554675625,25,49
1554676357,27,43
1554677070,30,28
1554677792,53,31
1554678510,22,37
1554679236,42,45
1554679934,40,489
1554680664,495,51
1554681366,45,20
1554682102,29,31
1554682806,22,33
1554683538,50,28
1554684250,32,32
1554684989,30,23
1554685708,20,48
1554686427,38,28
1554687151,42,31
1554687875,22,34
1554688585,51,32
1554689316,27,59
1554690025,38,34
1554690758,28,37
1554691471,40,24
1554692191,21,22
1554692911,32,37
1554693638,34,20
1554694586,32,35
1554695567,28,31
1554696528,25,45
1554697226,42,26
1554697954,30,29
1554698668,26,34
1554699393,36,33
1554700239,24,40
1554701069,31,21
1554701771,34,29
1554702498,33,45
1554703230,33,33
1554703934,40,23
1554704660,24,23
1554705633,35,33
1554706366,36,37
1554707078,22,23
1554707789,27,26
1554708514,28,29
1554709228,32,32
1554709955,27,28
1554710669,25,30
1554711398,48,39
1554712105,28,25
1554712834,19,43
1554713549,45,23
1554714737,35,37
1554715451,36,21
1554716179,39,27
1554716908,30,29
1554717640,30,28
1554718331,23,33
1554719075,32,29
1554719791,34,25
1554720516,24,36
1554721236,32,26
1554721955,29,42
1554722671,43,22
1554723388,18,20
1554724114,22,39
1554725082,41,26
1554725802,26,48
1554726510,40,19
1554727230,29,36
1554727974,38,26
1554728651,17,41
1554729374,32,20
1554730091,24,32
1554730817,24,24
1554731532,40,34
1554732262,38,29
1554733232,32,68
1554733936,47,40
1554734661,37,21
1554735372,33,80
1554736348,62,30
