DateTime,AddedIPs,RemovedIPs
1554360269,16,15
1554362172,225,23
1554364096,23,13
1554366041,222,19
1554367946,21,17
1554369302,196,0
1554369853,14,14
1554371789,17,9
1554372902,173,0
1554373689,16,13
1554375643,22,18
1554376502,169,0
1554377557,14,11
1554379459,16,22
1554380102,170,0
1554381395,14,10
1554383321,14,6
1554383702,190,0
1554385214,12,14
1554387152,711,2133
1554387301,176,0
1554389073,15,7
1554390974,199,17
1554392896,10,14
1554394502,191,0
1554394830,12,18
1554396752,12,10
1554398102,155,0
1554398655,9,0
1554400590,23,0
1554401701,186,0
1554402757,14,15
1554404659,12,15
1554405302,168,0
1554406571,14,11
1554408031,380,1281
1554408522,15,12
1554408902,169,0
1554410430,14,16
1554411387,237,0
1554412334,17,0
1554412501,167,0
1554414251,9,0
1554414748,285,0
1554416191,186,16
1554418619,245,21
1554419053,77,30
1554419701,160,0
1554420516,16,13
1554421227,220,0
1554422469,9,12
1554423302,153,3864
1554424358,20,15
1554426533,347,18
1554426984,246,77
1554428412,7,18
1554429635,255,0
1554430354,13,25
1554430502,159,0
1554430803,28,0
1554432251,12,18
1554433721,243,0
1554434195,177,14
1554436848,245,0
1554437702,185,0
1554438028,8,28
1554439929,17,18
1554441379,445,0
1554441875,12,22
1554443772,23,15
1554444902,206,0
1554446676,243,0
1554447632,19,28
1554448501,184,0
1554449570,227,20
1554451480,206,22
1554452102,246,0
1554453393,8,10
1554454118,201,0
1554455702,308,0
1554456276,195,0
1554459153,4,53
1554459301,184,0
1554459885,144,0
1554461070,20,14
1554462976,188,24
1554463229,679,0
1554465387,667,0
1554466502,164,0
1554466837,18,24
1554468029,669,0
1554468748,14,10
1554470102,149,0
1554470671,19,11
1554471397,676,0
1554472571,19,15
1554473702,170,0
1554474281,653,307
1554474739,14,6
1554476900,13,11
1554477302,140,0
1554477881,675,0
1554478814,9,13
1554480752,10,8
1554480902,154,0
1554482194,713,0
1554482659,8,8
1554484591,128,12
1554485553,638,0
1554486494,13,12
1554488102,117,0
1554488436,695,15
1554490335,20,8
1554491702,102,0
1554492254,11,13
1554493934,663,0
1554494208,7,13
1554495302,90,0
1554496096,14,16
1554496818,655,182
1554498038,10,11
1554498902,114,0
1554499959,649,156
1554501872,9,20
1554502502,109,0
1554505024,713,463
1554506102,106,0
1554506896,8,0
1554508881,710,305
1554509702,116,3632
1554510756,673,0
1554512693,53,13
1554513302,125,0
1554514572,8,11
1554516525,34,32
1554516901,136,0
1554520338,13,27
1554520501,120,0
1554522253,8,10
1554524198,156,0
1554527702,117,0
1554528023,498,230
1554528742,202,860
1554529951,502,35
