DateTime,AddedIPs,RemovedIPs
1554616563,81,0
1554617026,1,1
1554618123,2,0
1554618483,71,7
1554620420,0,108
1554620566,1,2
1554621722,3,0
1554622322,43,1
1554624243,22,55
1554624723,1,9
1554625323,1,0
1554625922,1,0
1554626162,80,0
1554627768,0,2
1554628322,2,0
1554628922,1,0
1554630002,86,11
1554630123,5,0
1554630723,2,0
1554631322,1,0
1554631924,0,109
1554633842,81,0
1554634923,1,0
1554634972,1,1
1554636123,2,0
1554637322,7,0
1554637683,75,42
1554638567,1,12
1554639722,1,0
1554640923,1,0
1554641523,67,132
1554642123,5,0
1554642166,0,3
1554643323,2,0
1554644523,1,0
1554645362,83,0
1554645826,1,1
1554646323,3,0
1554647282,80,13
1554648123,3,0
1554649209,13,80
1554649366,18,0
1554649922,2,0
1554650162,79,75
1554650523,1,0
1554651123,57,45
1554651723,3,0
1554652923,1,0
1554654122,2,0
1554654723,1,0
1554654962,73,14
1554655922,14,60
1554656523,2,0
1554656628,0,1
1554657122,4,0
1554657843,4,59
1554658923,2,0
1554660123,10,0
1554660723,73,0
1554661323,6,0
1554662643,76,12
1554663842,1,127
1554664923,2,0
1554665525,6,0
1554666123,1,0
1554666482,82,0
1554667368,2,1
1554667923,2,0
1554668522,1,0
1554669723,14,0
1554670562,83,23
1554670967,1,0
1554671523,1,148
1554672123,1,0
1554673923,1,0
1554674414,86,0
1554674628,1,1
1554675123,2,0
1554676322,60,22
1554676923,1,0
1554677283,0,177
1554678168,1,0
1554678723,2,0
1554679322,1,0
1554680161,88,0
1554680655,4,0
1554681767,32,0
1554682925,5,0
1554684003,48,13
1554684123,1,0
1554684963,13,122
1554685367,0,2
1554686523,1,0
1554686883,0,101
1554687122,1,0
1554687843,64,0
1554688322,1,0
1554688922,1,0
1554688968,0,2
1554690122,3,0
1554691323,1,0
1554691682,77,6
1554692642,2,152
1554693723,3,2
1554694923,1,0
1554695523,94,0
1554696483,0,108
1554698525,1,0
1554699363,79,0
1554699828,1,0
1554700323,0,1
1554701282,0,73
1554702123,3,0
1554702482,73,0
1554703214,475,36
1554703373,5,2
1554704524,6,0
1554705123,106,478
1554705724,7,0
1554706967,1,2
1554707523,16,0
1554708242,0,122
1554708723,1,0
1554708962,61,0
1554709923,1,0
1554710523,1,0
1554710567,0,2
1554711723,2,0
1554712802,80,11
1554713283,11,60
1554714723,1,0
1554716645,84,25
1554717768,0,1
1554719044,0,89
1554720481,98,0
1554721368,4,1
1554722522,3,0
1554723723,4,0
1554724563,79,20
1554725044,24,60
1554725523,5,0
1554726123,5,0
1554726482,54,12
1554726965,12,54
1554727323,4,0
1554727923,1,0
1554728523,3,0
1554728882,0,70
1554730323,95,0
1554730923,1,0
1554732168,1,1
1554733323,2,0
1554734162,71,14
1554734648,14,69
1554735723,1,0
1554736322,67,16
1554738122,3,0
1554738723,0,110
1554739369,3,4
1554740523,1,0
1554742082,81,0
1554742323,1,0
1554742969,3,1
1554744125,9,0
1554744483,0,68
1554744723,6,0
1554745323,3,0
1554745923,116,0
1554746634,3,0
1554747362,0,64
1554747723,14,0
1554748922,3,0
1554749763,110,0
1554750228,4,1
1554751322,1,0
1554751682,65,21
1554751922,3,0
1554753122,21,64
1554753723,2,0
1554754323,5,0
1554754923,2,0
1554755524,77,20
1554756123,10,0
1554756963,0,169
1554757369,1,1
1554757923,2,0
1554758523,1,0
1554759362,79,0
1554759723,1,0
1554761763,0,112
1554762123,7,0
1554762723,6,0
1554764568,6,0
1554765363,90,0
1554765723,8,0
1554766803,0,95
1554766922,21,0
1554767282,84,0
1554768172,3,1
1554769324,4,0
1554769923,1,0
1554770523,3,0
1554771122,51,13
1554771722,1,0
1554771828,0,2
1554772563,0,198
1554772924,1,0
1554773523,5,0
1554774962,71,0
1554775323,4,0
1554776404,0,66
1554776523,3,0
1554776882,72,0
1554777723,2,0
1554778969,0,1
1554779524,9,0
1554780123,0,2
1554780722,86,14
1554781324,1,0
1554782163,1,181
1554782522,5,0
1554782568,0,1
1554783723,2,0
1554784323,1,0
1554784562,75,0
1554784923,1,1
1554785523,2,0
1554786123,8,0
1554786724,1,0
1554787322,4,0
1554787923,11,0
1554788642,82,9
1554790083,1,151
1554790923,1,0
1554791523,2,0
1554792123,3,0
1554792483,74,0
1554793428,2,6
1554793923,1,0
1554794523,7,0
1554795842,84,65
1554796323,16,65
1554796923,12,0
1554797028,0,1
1554797523,1,0
1554798123,11,0
1554799323,13,0
1554799923,7,0
1554800162,87,0
1554800522,1,0
1554800569,0,1
1554801722,1,0
1554802923,6,1
1554803523,69,72
1554804008,0,51
1554804123,7,0
1554804228,0,4
1554805323,4,2
1554805922,72,0
1554806523,7,0
1554807723,11,0
1554807768,0,1
1554808923,7,0
1554809282,0,53
1554809762,82,0
1554810123,2,0
1554811428,1,23
1554812163,2,57
1554812523,6,0
1554813603,80,0
1554813723,2,0
1554814969,5,1
1554815523,64,16
1554816123,4,0
1554817323,4,0
1554817923,5,110
1554818628,0,1
1554819722,3,0
1554820923,1,0
1554821282,80,0
1554822168,0,1
1554823323,2,1
1554823682,0,65
1554824522,11,0
1554825123,85,0
1554825867,6315,1117
1554826923,14,0
1554828122,3,0
1554828962,75,15
1554829323,2,0
1554829369,1,1
1554830402,0,117
1554831122,3,0
1554832823,98,0
1554833029,6,1
1554833523,4,0
1554834122,3,0
1554834723,79,27
1554835322,10,0
1554835923,4,0
1554836163,0,114
1554836569,2,1
1554837723,3,0
1554838562,89,0
1554840169,1,1
1554841323,2,1
1554842643,96,17
1554842883,17,78
1554843770,8,1
1554844923,1,0
1554845522,1,0
1554846123,1,1
1554846482,76,27
1554846723,0,170
1554847322,2,0
1554847369,0,2
1554848523,2,0
1554849124,5,0
1554849722,0,1
1554850323,66,0
1554850923,1,0
1554850969,0,1
1554853323,1,0
1554854162,72,18
1554854642,4,195
1554855723,6,8
1554856923,1,0
1554858013,61,0
1554858123,5,0
1554858229,8,0
1554859323,1,0
1554859923,67,12
1554860403,0,162
1554861123,12,0
1554861770,1,1
1554862322,2,0
1554862922,1,0
1554864004,93,0
1554864123,3,0
1554865376,3,8
1554865923,3,0
1554866405,0,107
1554867123,1,0
1554867723,4,0
1554868082,90,0
1554868323,2,0
1554868969,9,2
1554869523,1,0
1554870243,3,106
1554871323,15,0
1554871923,74,0
1554872524,4,1
1554872569,0,2
1554873122,2,0
1554873842,95,10
1554875044,18,90
1554876169,0,1
1554876963,0,74
1554877323,2,0
1554878522,2,0
1554879123,3,0
1554879611,81,0
1554879724,28,0
1554879769,1,2
1554880923,5,0
1554881523,76,9
1554882123,1,0
1554882723,7,0
1554883370,5,1
1554883923,3,0
1554884522,4,0
1554884883,0,113
1554885123,2,0
1554885602,93,0
1554885724,4,0
1554886969,3,1
1554887523,66,14
1554888123,5,0
1554889323,1,0
1554890643,1,95
1554891724,5,1
1554893281,72,0
1554893523,9,0
1554894124,13,0
1554894723,1,0
1554895324,1,0
1554895923,1,0
1554896523,3,0
1554897122,69,12
1554898323,0,97
1554898923,10,0
1554900123,4,0
