DateTime,AddedIPs,RemovedIPs
1554426722,3,0
1554427323,2,0
1554429723,6,0
1554430323,1,0
1554430926,4,0
1554431523,1,0
1554432123,25,0
1554433924,2,0
1554434523,2,0
1554435723,1,0
1554436923,0,1
1554437522,1,0
1554439324,1,0
1554440522,2,0
1554447722,5,0
1554448923,3,0
1554449523,2,0
1554450123,1,0
1554451324,1,1
1554452524,1,0
1554453723,0,1
1554454923,2,0
1554455524,2,0
1554458523,5,0
1554460923,0,1
1554462123,0,1
1554462723,0,1
1554464523,2,0
1554465123,2,0
1554466323,1,0
1554468123,1,0
1554469323,6,0
1554470523,0,1
1554472323,4,0
1554474122,0,1
1554477023,0,1
1554478324,16,0
1554478923,1,0
1554479522,15,0
1554481323,1,0
1554482522,1,0
1554483723,1,0
1554484923,0,1
1554487322,5,0
1554487923,2,0
1554488523,1,0
1554490923,3,0
1554494523,2,0
1554495723,1,0
1554496923,12,0
1554498122,2,0
1554499322,1,0
1554501124,1,0
1554501723,1,0
1554502923,1,0
1554505323,1,0
1554505923,1,0
1554506522,10,0
1554510123,1,0
1554511323,1,0
1554512522,1,0
1554513723,2,0
1554514923,1,0
1554516123,8,0
1554516722,1,0
1554517326,1,0
1554517924,4,0
1554518523,1,0
1554520922,1,0
1554524522,1,0
1554525722,2,1
1554527523,1,1
1554529322,2,0
1554530523,1,0
1554531123,1,0
1554532323,1,0
1554532922,1,0
1554534123,13,0
1554535322,2,0
1554536523,1,0
1554538323,2,0
1554539522,1,0
1554540123,4,0
1554541922,1,0
1554543723,10,0
1554548522,1,0
1554551523,5,0
1554552123,1,0
1554555122,1,0
1554555723,10,0
1554556923,1,0
1554557523,2,0
1554559923,1,0
1554562923,2,0
1554564123,4,0
1554564723,1,0
1554565324,11,0
1554565922,8,0
1554567723,1,0
1554570123,1,0
1554570722,5,0
1554571923,1,0
1554572523,1,0
1554573723,1,0
1554574323,8,0
1554574922,2,0
1554575522,1,0
1554576123,2,0
1554578522,2,0
1554579722,5,0
1554580323,2,0
1554580923,2,0
1554581522,1,0
1554582123,2,1
1554582722,13,0
1554583323,3,1
1554583923,2,0
1554584523,1,0
1554585722,4,0
1554586922,4,0
1554588123,2,0
1554589323,4,0
