DateTime,AddedIPs,RemovedIPs
1554526817,588,49
1554527717,443,40
1554528617,419,55
1554529516,740,153
1554530414,330,88
1554531313,195,41
1554532214,201,52
1554533114,316,31
1554534013,255,101
1554534914,220,197
1554535814,202,186
1554536712,318,168
1554537611,337,163
1554538512,251,202
1554539413,250,212
1554540311,313,281
1554541211,287,373
1554542110,354,349
1554543010,301,407
1554543910,206,376
1554544810,294,402
1554545708,264,414
1554546607,300,424
1554547508,276,363
1554548408,410,390
1554549307,250,555
1554550206,359,443
1554551107,430,398
1554552005,358,726
1554552904,522,337
1554553804,534,270
1554554705,439,194
1554555604,491,604
1554556503,349,914
1554557403,373,859
1554558303,386,772
1554559202,368,914
1554560102,277,932
1554561002,431,656
1554561901,286,235
1554562801,232,269
1554563702,379,243
1554564602,407,351
1554565502,303,291
1554566402,291,172
1554567302,258,216
1554568202,200,206
1554569102,397,261
1554570001,208,217
1554570902,390,373
1554571802,174,192
1554572701,186,320
1554573601,176,364
1554574502,462,232
1554575402,385,488
1554576302,1293,462
1554577202,3526,425
1554578102,2994,476
1554579002,2169,356
1554579903,1442,348
1554580803,876,388
1554581703,1101,384
1554582603,777,301
1554583503,611,456
1554584403,641,258
1554585303,630,226
1554586203,559,374
1554587102,593,370
1554588002,645,266
1554588903,442,274
1554589802,489,258
1554590703,533,202
1554591603,525,371
1554592503,523,228
1554593403,489,403
1554594303,417,171
1554595202,395,177
1554596103,456,194
1554597002,458,446
1554597903,492,352
1554598803,417,979
1554599702,481,2510
1554600602,509,2461
1554601503,363,2088
1554602402,387,1346
1554603305,314,873
1554604203,370,1069
1554605104,308,746
1554606008,278,623
1554606904,686,663
1554607803,676,644
1554608702,1875,520
1554609603,1203,536
1554610502,651,594
1554611403,578,422
1554612302,652,438
1554613203,737,474
1554614103,597,496
1554615002,658,483
1554615902,585,440
1554616803,573,368
1554617703,655,361
1554618602,586,449
1554619502,625,444
1554620402,735,440
1554621302,595,558
1554622203,692,902
1554623103,832,714
1554624002,712,382
1554624903,795,355
1554625803,655,254
1554626703,777,327
1554627603,669,284
1554628503,570,279
1554629402,636,509
1554630303,716,554
1554631202,304,1801
1554632102,223,1222
1554633003,271,712
1554633902,284,590
1554634802,951,667
1554635703,1646,703
1554636603,1456,546
1554637503,991,582
1554638403,725,542
1554639303,777,522
1554640202,779,586
1554641103,801,527
1554642003,904,541
1554642903,606,671
1554643803,733,618
1554644703,919,821
1554645603,867,771
1554646503,861,587
1554647403,766,725
1554648303,842,566
1554649203,749,701
1554650103,769,597
1554651003,686,496
1554651903,780,622
1554652802,713,710
1554653703,714,376
1554654603,549,279
1554655503,416,274
1554656403,323,297
1554657303,358,962
1554658202,531,1612
1554659102,1496,1253
1554660002,1133,937
1554660903,1156,686
1554661803,782,723
1554662703,729,752
1554663603,798,751
1554664502,667,903
1554665403,590,632
1554666303,651,743
1554667203,701,939
1554668103,685,910
1554669003,630,793
1554669903,551,830
1554670803,777,789
1554671703,632,734
1554672603,555,726
1554673503,2310,563
1554674404,1558,657
1554675303,1276,596
1554676204,1222,494
1554677104,1029,391
1554678004,993,234
1554678903,868,195
1554679804,849,3453
1554680704,1088,5664
1554681605,941,6155
1554682504,1092,5204
1554683405,836,3830
1554684305,1049,3173
1554685206,2143,1867
1554686107,1414,1054
1554687007,1225,892
1554687907,1002,787
1554688808,1143,1002
1554689709,1153,708
1554690608,1091,348
1554691510,1066,263
1554692417,1036,785
1554693312,1012,446
1554694219,912,1248
1554695109,1173,1665
1554696009,927,1142
1554696909,928,926
1554697809,853,1002
1554698709,929,1576
1554699608,1004,2440
1554700512,998,2088
1554701410,1003,1336
1554702310,987,961
1554703210,1059,969
1554704110,1136,648
1554705011,1054,763
1554705911,999,697
1554706811,1010,778
1554707713,1117,1010
1554708611,1028,1132
1554709512,959,1165
1554710412,798,1672
1554711312,837,1536
1554712211,508,1389
1554713113,461,1205
1554714012,485,876
1554714913,464,850
1554715813,434,668
1554716713,439,821
1554717613,915,787
1554718512,808,500
1554719415,740,343
1554720315,833,437
1554721215,858,242
1554722114,967,207
1554723017,867,307
1554723912,826,437
1554724815,833,656
1554725714,885,842
1554726615,697,1105
1554727514,658,1859
1554728413,695,2281
1554729314,643,1100
1554730215,699,1106
1554731114,606,839
1554732014,464,706
1554732917,595,695
1554733815,571,575
1554734714,526,725
1554735614,590,521
1554736514,550,544
1554737417,685,547
1554738316,622,691
1554739215,738,562
1554740115,595,499
1554741017,545,732
1554741916,477,629
1554742816,478,663
1554743718,464,471
1554744619,2751,507
1554745517,4887,583
1554746416,1763,387
1554747320,1546,478
1554748221,1877,871
1554749120,1448,4368
1554750020,1155,3569
1554750917,836,2301
1554751819,765,2100
1554752720,808,1694
1554753620,775,1243
1554754519,995,819
1554755420,936,625
1554756321,1121,746
1554757220,995,751
1554758122,1017,914
1554759019,994,1302
1554759923,796,1262
1554760825,800,1140
1554761722,1082,1114
1554762624,862,803
1554764425,1674,1809
1554765326,882,942
1554766224,946,725
1554767125,912,841
1554768027,1247,952
1554768925,1118,1034
1554769825,1472,941
1554770727,943,1252
1554771627,845,1044
1554772525,918,1480
1554773426,892,795
1554774323,837,843
1554775223,772,551
1554776164,677,231
1554777061,582,178
1554777970,481,173
1554778875,546,172
1554779784,572,138
1554780673,576,129
1554781571,589,152
1554782486,655,210
1554783331,1700,773
1554784229,1073,675
1554785123,988,1528
1554786025,800,2379
1554786926,711,1516
1554787826,891,1438
1554788724,940,956
1554789626,2278,911
1554790526,944,681
1554791427,1209,673
1554792326,1406,798
1554793225,849,896
1554794125,1001,1336
1554795029,1774,1706
1554795924,1203,1089
1554796821,867,1893
1554797723,925,818
1554798625,768,877
1554799525,1134,1539
1554800424,836,1301
1554801320,958,585
1554802219,1194,915
1554803121,962,892
1554804023,1080,1048
1554804920,738,890
1554805822,292,49
1554806722,360,74
1554807617,360,48
1554808518,271,13
1554809417,2230,1102
1554810322,1475,1055
1554811218,1363,1002
1554812119,1601,1189
1554813017,1663,771
1554813917,1387,1708
1554814820,1422,1577
1554815718,1218,1416
1554816617,979,1342
1554817516,992,1018
1554818416,1210,1191
1554819317,1381,1430
1554820216,1436,1527
1554821118,977,1315
1554822017,980,1048
1554822917,947,903
1554823814,1023,909
1554824715,1136,979
1554825614,973,1030
1554826519,1170,1048
1554827416,1285,1220
1554828320,1409,1190
1554829217,1169,1049
1554830120,1190,819
1554831015,1249,1149
1554831918,979,1041
1554832815,1255,1039
1554833715,1134,1151
1554834617,1720,1355
1554835516,1434,1565
1554836415,1044,979
1554837315,780,997
1554838218,1085,1256
1554839117,731,928
1554840015,855,1222
1554840916,1062,927
1554841815,1081,1291
1554842715,1052,1465
1554843616,1032,973
1554844517,675,1013
1554845416,970,988
1554846314,863,928
1554847216,970,868
1554848115,1030,1205
1554849013,801,1284
1554849913,610,897
1554850813,600,1118
1554851713,597,743
1554852613,625,1047
1554853513,1059,839
1554854416,900,1009
1554855313,897,866
1554856218,933,575
1554857113,1247,870
1554858014,1254,889
1554858914,1053,624
1554859815,1316,503
1554860715,945,1143
1554861613,867,878
1554862541,847,786
1554863432,239,66
1554864342,254,17
1554865234,236,49
1554866132,215,22
1554867039,255,13
1554867913,296,112
1554868811,320,51
1554869715,403,123
1554870612,400,87
1554871513,434,157
1554872413,374,124
1554873313,451,118
1554874211,464,77
1554875112,434,92
1554876012,468,107
1554876910,492,106
1554877811,474,71
1554878710,597,141
1554879611,503,194
1554880509,535,328
1554881409,569,291
1554882310,621,255
1554883210,679,271
1554884110,474,231
1554885009,455,236
1554885909,811,322
1554886809,534,260
1554887708,524,257
1554888608,699,305
1554889508,441,238
1554890407,736,383
1554891307,1039,368
1554892209,739,410
1554893107,671,409
1554894007,400,370
1554894906,560,317
1554895807,435,394
1554896706,549,449
1554897606,810,456
1554898505,790,462
1554899406,959,523
1554900305,637,445
1554901205,525,547
1554902104,598,510
1554903003,535,1280
1554903903,516,1569
1554904803,567,1279
1554905702,728,1250
1554906602,859,1030
1554907502,1068,430
1554908402,688,756
1554909304,791,536
1554910202,521,519
1554911102,171,692
1554912002,176,433
1554912903,196,750
1554913802,191,1057
1554914702,226,747
1554915602,185,668
1554916502,218,391
1554917402,198,607
1554918303,2444,348
1554919204,10699,233
1554920104,2692,511
1554921004,613,640
1554921905,622,1431
1554922804,846,3758
1554923705,2723,6115
1554924604,1371,3481
1554925505,1305,3531
1554926405,1359,3912
1554927304,1191,3308
1554928206,1028,2665
1554929107,1062,1565
1554930006,860,1238
1554930906,743,2448
1554931808,1057,1968
1554933608,1715,3464
1554934509,1011,1091
1554935408,1032,712
1554936308,794,600
1554937208,766,584
1554938109,811,486
1554939008,748,444
1554939909,729,459
1554940809,659,400
1554941709,562,361
1554942608,388,334
1554943509,383,388
1554944410,525,520
1554945309,484,567
1554946209,453,861
1554947110,484,1007
1554948010,673,875
1554948932,540,552
1554949824,542,638
1554950728,509,774
1554951624,421,612
1554952533,401,605
1554953409,701,761
1554954309,513,639
1554955209,645,552
1554956111,522,521
1554957010,573,416
1554957912,465,501
1554958810,717,561
1554959711,635,583
1554960611,707,620
1554961513,670,520
1554962412,1079,908
1554963312,1965,860
1554964213,2607,1088
1554965111,1439,900
1554966011,1379,1068
1554966911,1174,1367
1554967811,1146,1492
1554968712,1443,1855
1554969612,1347,1921
1554970511,1000,2388
1554971412,738,947
1554972311,1024,1555
1554973212,718,871
1554974111,623,910
1554975011,672,1193
1554975911,973,1189
1554976812,1059,850
1554977712,1131,752
