DateTime,AddedIPs,RemovedIPs
1554557523,10,7
1554558123,4,6
1554558723,6,9
1554559323,3,4
1554559923,10,0
1554560523,6,2
1554561723,10,6
1554562923,12,11
1554563524,7,4
1554564123,15,7
1554564723,6,53
1554565324,8,27
1554565922,17,7
1554566523,10,2
1554567723,5,8
1554568922,5,0
1554570123,3,7
1554570722,8,3
1554571322,4,0
1554571923,6,3
1554572523,3,3
1554573723,9,0
1554574323,14,9
1554574922,12,0
1554575522,13,6
1554576123,4,4
1554577322,7,0
1554578522,6,4
1554579722,6,6
1554580323,7,3
1554580923,12,8
1554581522,4,0
1554582123,6,0
1554582722,56,3
1554583323,8,0
1554583923,4,11
1554584523,3,0
1554585722,6,10
1554586322,4,0
1554586922,7,0
1554588123,5,3
1554589323,8,13
1554589922,1,2
1554590523,5,7
1554591723,2,4
1554592922,0,16
1554593522,2,5
1554594123,4,5
1554595324,3,2
1554595922,3,0
1554596524,3,3
1554597723,4,14
1554598922,6,0
1554599523,4,10
1554600123,4,9
1554601323,7,9
1554602523,3,16
1554603723,3,3
1554604323,3,5
1554604922,12,6
1554606122,4,15
1554607323,6,0
1554607923,2,6
1554608523,4,0
1554609722,0,15
1554610323,6,4
1554610925,7,6
1554611522,4,3
1554612122,7,0
1554613323,9,12
1554613923,3,3
1554614522,9,2
1554615723,6,0
1554616323,14,4
1554616922,1,5
1554618123,4,8
1554619322,0,28
1554619923,5,9
1554620523,7,3
1554621722,3,0
1554622923,5,12
1554624123,2,35
1554624723,3,0
1554625323,2,0
1554625922,3,5
1554626523,3,0
1554627123,5,5
1554627722,7,0
1554628322,5,14
1554628922,7,0
1554630123,2,12
1554630723,7,0
1554631322,5,22
1554632523,4,9
1554633722,4,7
1554634323,6,0
1554634923,9,0
1554636123,8,7
1554636722,1,0
1554637322,10,0
1554638522,3,18
1554639722,9,0
1554640923,5,17
1554641523,2,0
1554642123,4,24
1554643323,8,4
1554644523,1,13
1554645122,7,7
1554645723,10,8
1554646323,5,0
1554646923,4,6
1554648123,7,9
1554648723,8,7
1554649323,10,7
1554649922,9,0
1554650523,1,0
1554651123,6,62
1554651723,18,4
1554652923,7,29
1554653523,5,0
1554654122,7,0
1554654723,5,2
1554655322,5,0
1554655922,3,10
1554656523,8,0
1554657122,11,5
1554657724,2,11
1554658923,6,11
1554660123,3,34
1554660723,5,0
1554661323,11,0
1554661923,2,13
1554662523,12,0
1554663722,6,8
1554664923,9,8
1554665525,13,11
1554666123,7,8
1554666723,7,0
1554667324,6,6
1554667923,7,8
1554668522,7,24
1554669723,58,0
1554670923,6,14
1554671523,5,10
1554672123,3,0
1554672723,6,4
1554673323,5,3
1554673923,6,6
1554674524,3,6
1554675123,5,4
1554675723,5,6
1554676322,8,0
1554676923,14,0
1554678123,3,8
1554678723,4,0
1554679322,2,22
1554680522,7,5
1554681724,4,14
1554682925,12,7
1554684123,2,4
1554685322,6,14
1554686523,2,14
1554687122,2,0
1554687722,7,16
1554688922,7,0
1554689522,3,7
1554690122,10,16
1554691323,5,16
1554692525,4,24
1554693723,4,23
1554694323,3,0
1554694923,6,19
1554695523,2,5
1554696122,5,13
1554696724,4,0
1554697322,3,0
1554698525,4,12
1554699123,7,14
1554699723,4,6
1554700323,1,0
1554700923,1,12
1554702123,6,16
1554703323,4,22
1554703923,10,0
1554704524,9,13
1554705123,12,0
1554705724,4,0
1554706923,8,10
1554707523,5,17
1554708122,6,0
1554708723,4,15
1554709323,3,3
1554709923,6,0
1554710523,4,0
1554711723,2,18
1554712324,4,6
1554712922,4,12
1554713523,3,0
1554714123,5,0
1554714723,7,14
1554715323,6,0
1554716523,17,17
1554717723,4,9
1554718923,8,10
1554720123,6,9
1554721323,9,33
1554722522,12,8
1554723723,12,29
1554724323,9,11
1554724922,6,0
1554725523,13,18
1554726123,15,0
1554726723,3,4
1554727323,7,0
1554727923,5,22
1554728523,11,6
1554729724,5,18
1554730923,7,9
1554732124,3,18
1554733323,3,23
1554734522,6,10
1554735723,4,0
1554736924,4,12
1554738122,8,84
1554739323,6,12
1554740523,4,26
1554741723,1,0
1554742924,7,12
1554744125,3,0
1554744723,7,16
1554745323,6,4
1554745923,4,0
1554746523,12,7
1554747723,6,5
1554748922,8,3
1554750123,10,2
1554751322,4,10
1554751922,6,5
1554752523,4,5
1554753723,7,0
1554754323,12,7
1554754923,4,0
1554756123,7,11
1554757323,4,4
1554757923,4,11
1554758523,5,11
