DateTime,AddedIPs,RemovedIPs
1554465723,0,1
1554466923,0,12
1554468123,1,9
1554469323,35,5
1554471722,1,0
1554472924,0,5
1554474122,1,10
1554476524,0,12
1554477723,0,7
1554478323,17,0
1554478923,1,0
1554479522,0,6
1554480123,0,2
1554481323,2,0
1554483123,1,1
1554483723,1,0
1554484923,0,2
1554487322,13,3
1554487922,0,3
1554488522,0,3
1554489723,1,2
1554490923,1,5
1554492123,0,8
1554493323,1,0
1554494523,0,2
1554495723,1,9
1554496922,1,8
1554498122,0,4
1554499322,2,0
1554500523,2,7
1554501123,1,49
1554501723,1,7
1554504722,0,10
1554505322,0,2
1554506522,39,2
1554508924,1,5
1554510123,4,0
1554511323,0,5
1554512522,0,11
1554514923,4,3
1554516123,17,2
1554516722,1,4
1554517325,0,3
1554518523,1,0
1554519723,0,10
1554520922,4,51
1554521522,0,10
1554522124,1,0
1554522723,1,6
1554524522,1,8
1554525722,15,3
1554526923,1,1
1554527523,1,3
1554529322,0,5
1554530523,0,43
1554531722,0,5
1554532323,1,0
1554534123,26,3
1554535322,3,12
1554536523,1,19
1554537123,0,16
1554537722,0,11
1554539522,0,9
1554541323,1,14
1554542522,0,15
1554543722,28,10
1554544922,4,7
1554546122,0,9
1554547323,0,13
1554548522,1,1
1554549722,0,10
1554551523,0,5
1554552123,1,0
1554553323,0,5
1554554523,0,7
1554555122,0,6
1554555723,29,42
1554556923,1,0
1554557523,0,10
1554559323,0,16
1554560523,0,4
1554562923,0,7
1554563523,0,3
1554564123,0,8
1554565324,18,42
1554566523,1,5
1554570123,2,0
1554571322,0,2
1554571923,1,0
1554573723,1,0
1554574322,13,7
1554574922,1,0
1554576122,1,0
1554576722,2,0
1554578522,3,0
1554579122,2,8
1554579722,1,0
1554580323,3,8
1554580923,4,6
1554582123,10,7
1554583322,2,0
1554584523,3,4
1554585722,7,11
1554586922,5,0
1554588123,4,5
1554589322,9,1
1554590522,1,4
1554591722,4,8
1554592323,5,12
1554592922,45,0
1554594123,5,13
1554595324,7,13
1554595922,2,0
1554596523,2,0
1554597723,6,21
1554598322,1,0
1554599523,0,6
1554600123,0,4
1554600722,1,0
1554602523,4,2
1554603123,0,6
1554603723,6,0
1554604922,4,25
1554606122,3,4
1554607323,5,0
1554608522,5,0
1554609722,1,0
1554610925,2,0
1554611522,13,5
1554612122,4,0
1554613323,5,25
1554614522,7,6
1554615722,9,3
1554616323,2,0
1554616922,1,4
1554618123,3,3
1554619322,0,1
1554621722,4,0
1554622923,11,2
1554624123,4,6
1554625323,1,0
1554625922,0,3
1554627123,0,3
1554627722,1,0
1554628322,1,0
1554628922,1,0
1554630123,5,3
1554631322,8,4
1554632523,5,0
1554633722,1,0
1554634923,1,0
1554636122,2,9
1554637322,1,0
1554638522,2,13
1554639722,2,0
1554640923,4,1
1554642122,15,5
1554643323,2,6
1554644523,1,0
1554645122,0,5
1554645723,2,10
1554646923,1,2
1554648123,1,1
1554649322,20,0
1554649922,4,0
1554650523,1,0
1554651723,3,0
1554652923,3,5
1554654122,2,0
1554655322,0,7
1554655922,1,9
1554656523,3,0
1554657122,0,14
1554657724,7,4
1554658923,6,2
1554660122,0,14
1554660723,2,0
1554661323,3,0
1554662523,0,20
1554663722,1,0
1554664922,0,7
1554666123,5,3
1554666722,4,0
1554667324,1,4
1554667923,2,10
1554668522,1,23
1554669722,2,0
1554670923,0,1
1554671523,0,1
1554673323,2,1
1554673923,1,0
1554674524,5,1
1554675123,5,0
1554675722,4,6
1554676922,4,0
1554677522,0,23
1554678123,1,0
1554679322,2,0
1554679922,1,2
1554681724,2,3
1554682924,8,0
1554684123,5,7
1554684723,1,2
1554685322,2,2
1554686523,2,1
1554687722,2,6
1554688322,1,0
1554690122,3,11
1554691323,5,2
1554692525,7,5
1554693723,6,2
1554694323,1,0
1554694923,2,7
1554695523,1,0
1554696122,0,3
1554696724,2,2
1554697322,4,0
1554698525,5,8
1554699123,0,2
1554699723,4,2
1554700923,3,12
1554702123,1,3
1554703323,3,14
1554704524,0,19
